group,pattern,eat,absorbPartsNum,Time-consuming
9,decay,0.15000000000000002,0,15.000000000000014
9,decay,0.15000000000000002,0,15.300000000000015
9,decay,0.15000000000000002,0,15.600000000000016
9,decay,0.15000000000000002,0,15.900000000000016
9,decay,0.15000000000000002,0,16.200000000000017
9,decay,0.15000000000000002,0,16.500000000000018
9,decay,0.15000000000000002,0,16.80000000000002
9,decay,0.15000000000000002,0,17.10000000000002
9,decay,0.15000000000000002,0,17.40000000000002
9,decay,0.15000000000000002,0,17.70000000000002
9,decay,0.15000000000000002,0,18.00000000000002
9,decay,0.15000000000000002,0,18.300000000000022
9,decay,0.15000000000000002,0,18.600000000000023
9,decay,0.15000000000000002,0,18.900000000000023
9,decay,0.15000000000000002,0,19.200000000000024
9,decay,0.15000000000000002,0,19.500000000000025
9,decay,0.15000000000000002,0,19.800000000000026
9,decay,0.15000000000000002,0,20.100000000000026
9,decay,0.15000000000000002,0,20.400000000000027
9,decay,0.15000000000000002,0,20.700000000000028
9,decay,0.15000000000000002,0,21.00000000000003
9,decay,0.15000000000000002,0,21.30000000000003
9,decay,0.15000000000000002,0,21.60000000000003
9,decay,0.15000000000000002,0,21.90000000000003
9,decay,0.15000000000000002,0,22.20000000000003
9,decay,0.15000000000000002,0,22.500000000000032
9,decay,0.15000000000000002,0,22.800000000000033
9,decay,0.15000000000000002,0,23.100000000000033
9,decay,0.15000000000000002,0,23.400000000000034
9,decay,0.15000000000000002,0,23.700000000000035
9,decay,0.15000000000000002,0,24.000000000000036
9,decay,0.15000000000000002,0,24.300000000000036
9,decay,0.15000000000000002,0,24.600000000000037
9,decay,0.15000000000000002,0,24.900000000000038
9,decay,0.15000000000000002,0,25.20000000000004
9,decay,0.15000000000000002,0,25.50000000000004
9,decay,0.15000000000000002,0,25.80000000000004
9,decay,0.15000000000000002,0,26.10000000000004
9,decay,0.15000000000000002,0,26.40000000000004
9,decay,0.15000000000000002,0,26.700000000000042
9,decay,0.15000000000000002,0,27.000000000000043
9,decay,0.15000000000000002,0,27.300000000000043
9,decay,0.15000000000000002,0,27.600000000000044
9,decay,0.15000000000000002,0,27.900000000000045
9,decay,0.15000000000000002,0,28.200000000000045
9,decay,0.15000000000000002,0,28.500000000000046
9,decay,0.15000000000000002,0,28.800000000000047
9,decay,0.15000000000000002,0,29.100000000000048
9,decay,0.15000000000000002,0,29.40000000000005
9,decay,0.15000000000000002,0,29.70000000000005
9,decay,0.15000000000000002,0,30.00000000000005
9,decay,0.15000000000000002,0,30.30000000000005
9,decay,0.15000000000000002,0,30.60000000000005
9,decay,0.15000000000000002,0,30.900000000000052
9,decay,0.15000000000000002,0,31.200000000000053
9,decay,0.15000000000000002,0,31.500000000000053
9,decay,0.15000000000000002,0,31.800000000000054
9,decay,0.15000000000000002,0,32.10000000000005
9,decay,0.15000000000000002,0,32.40000000000005
9,decay,0.15000000000000002,0,32.700000000000045
9,decay,0.15000000000000002,0,33.00000000000004
9,decay,0.15000000000000002,0,33.30000000000004
9,decay,0.15000000000000002,0,33.60000000000004
9,decay,0.15000000000000002,0,33.900000000000034
9,decay,0.15000000000000002,0,34.20000000000003
9,decay,0.15000000000000002,0,34.50000000000003
9,decay,0.15000000000000002,0,34.800000000000026
9,decay,0.15000000000000002,0,35.10000000000002
9,decay,0.15000000000000002,0,35.40000000000002
9,decay,0.15000000000000002,0,35.70000000000002
9,decay,0.15000000000000002,0,36.000000000000014
9,decay,0.15000000000000002,0,36.30000000000001
9,decay,0.15000000000000002,0,36.60000000000001
9,decay,0.15000000000000002,0,36.900000000000006
9,decay,0.15000000000000002,0,37.2
9,decay,0.15000000000000002,0,37.5
9,decay,0.15000000000000002,0,37.8
9,decay,0.15000000000000002,0,38.099999999999994
9,decay,0.15000000000000002,0,38.39999999999999
9,decay,0.15000000000000002,0,38.69999999999999
9,decay,0.15000000000000002,0,38.999999999999986
9,decay,0.15000000000000002,0,39.29999999999998
9,decay,0.15000000000000002,0,39.59999999999998
9,decay,0.15000000000000002,0,39.89999999999998
9,decay,0.15000000000000002,0,40.199999999999974
9,decay,0.15000000000000002,0,40.49999999999997
9,decay,0.15000000000000002,0,40.79999999999997
9,decay,0.15000000000000002,0,41.099999999999966
9,decay,0.15000000000000002,0,41.39999999999996
9,decay,0.15000000000000002,0,41.69999999999996
9,decay,0.15000000000000002,0,41.99999999999996
9,decay,0.15000000000000002,0,42.299999999999955
9,decay,0.15000000000000002,0,42.59999999999995
9,decay,0.15000000000000002,0,42.89999999999995
9,decay,0.15000000000000002,0,43.199999999999946
9,decay,0.15000000000000002,0,43.49999999999994
9,decay,0.15000000000000002,0,43.79999999999994
9,decay,0.15000000000000002,0,44.09999999999994
9,decay,0.15000000000000002,0,44.399999999999935
9,decay,0.15000000000000002,0,44.69999999999993
9,decay,0.15000000000000002,0,44.99999999999993
9,decay,0.15000000000000002,0,45.299999999999926
9,decay,0.15000000000000002,0,45.59999999999992
9,decay,0.15000000000000002,0,45.89999999999992
9,decay,0.15000000000000002,0,46.19999999999992
9,decay,0.15000000000000002,0,46.499999999999915
9,decay,0.15000000000000002,0,46.79999999999991
9,decay,0.15000000000000002,0,47.09999999999991
9,decay,0.15000000000000002,0,47.399999999999906
9,decay,0.15000000000000002,0,47.6999999999999
9,decay,0.15000000000000002,0,47.9999999999999
9,decay,0.15000000000000002,0,48.2999999999999
9,decay,0.15000000000000002,0,48.599999999999895
9,decay,0.15000000000000002,0,48.89999999999989
9,decay,0.15000000000000002,0,49.19999999999989
9,decay,0.15000000000000002,0,49.499999999999886
9,decay,0.15000000000000002,0,49.79999999999988
9,decay,0.15000000000000002,0,50.09999999999988
9,decay,0.15000000000000002,0,50.39999999999988
9,decay,0.15000000000000002,0,50.699999999999875
9,decay,0.15000000000000002,0,50.99999999999987
9,decay,0.15000000000000002,0,51.29999999999987
9,decay,0.15000000000000002,0,51.599999999999866
9,decay,0.15000000000000002,0,51.899999999999864
9,decay,0.15000000000000002,0,52.19999999999986
9,decay,0.15000000000000002,0,52.49999999999986
9,decay,0.15000000000000002,0,52.799999999999855
9,decay,0.15000000000000002,0,53.09999999999985
9,decay,0.15000000000000002,0,53.39999999999985
9,decay,0.15000000000000002,0,53.69999999999985
9,decay,0.15000000000000002,0,53.999999999999844
9,decay,0.15000000000000002,0,54.29999999999984
9,decay,0.15000000000000002,0,54.59999999999984
9,decay,0.15000000000000002,0,54.899999999999835
9,decay,0.15000000000000002,0,55.19999999999983
9,decay,0.15000000000000002,0,55.49999999999983
9,decay,0.15000000000000002,0,55.79999999999983
9,decay,0.15000000000000002,0,56.099999999999824
9,decay,0.15000000000000002,0,56.39999999999982
9,decay,0.15000000000000002,0,56.69999999999982
9,decay,0.15000000000000002,0,56.999999999999815
9,decay,0.15000000000000002,0,57.29999999999981
9,decay,0.15000000000000002,0,57.59999999999981
9,decay,0.15000000000000002,0,57.89999999999981
9,decay,0.15000000000000002,0,58.199999999999804
9,decay,0.15000000000000002,0,58.4999999999998
9,decay,0.15000000000000002,0,58.7999999999998
9,decay,0.15000000000000002,0,59.099999999999795
9,decay,0.15000000000000002,0,59.39999999999979
9,decay,0.15000000000000002,0,59.69999999999979
9,decay,0.15000000000000002,0,59.99999999999979
9,decay,0.15000000000000002,0,60.299999999999784
9,decay,0.15000000000000002,0,60.59999999999978
9,decay,0.15000000000000002,0,60.89999999999978
9,decay,0.15000000000000002,0,61.199999999999775
9,decay,0.15000000000000002,0,61.49999999999977
9,decay,0.15000000000000002,0,61.79999999999977
9,decay,0.15000000000000002,0,62.09999999999977
9,decay,0.15000000000000002,0,62.399999999999764
9,decay,0.15000000000000002,0,62.69999999999976
9,decay,0.15000000000000002,0,62.99999999999976
9,decay,0.15000000000000002,0,63.299999999999756
9,decay,0.15000000000000002,0,63.59999999999975
9,decay,0.15000000000000002,0,63.89999999999975
9,decay,0.15000000000000002,0,64.19999999999975
9,decay,0.15000000000000002,0,64.49999999999974
9,decay,0.15000000000000002,0,64.79999999999974
9,decay,0.15000000000000002,0,65.09999999999974
9,decay,0.15000000000000002,0,65.39999999999974
9,decay,0.15000000000000002,0,65.69999999999973
9,decay,0.15000000000000002,0,65.99999999999973
9,decay,0.15000000000000002,0,66.29999999999973
9,decay,0.15000000000000002,0,66.59999999999972
9,decay,0.15000000000000002,0,66.89999999999972
9,decay,0.15000000000000002,0,67.19999999999972
9,decay,0.15000000000000002,0,67.49999999999972
9,decay,0.15000000000000002,0,67.79999999999971
9,decay,0.15000000000000002,0,68.09999999999971
9,decay,0.15000000000000002,0,68.39999999999971
9,decay,0.15000000000000002,0,68.6999999999997
9,decay,0.15000000000000002,0,68.9999999999997
9,decay,0.15000000000000002,0,69.2999999999997
9,decay,0.15000000000000002,0,69.5999999999997
9,decay,0.15000000000000002,0,69.8999999999997
9,decay,0.15000000000000002,0,70.19999999999969
9,decay,0.15000000000000002,0,70.49999999999969
9,decay,0.15000000000000002,0,70.79999999999968
9,decay,0.15000000000000002,0,71.09999999999968
9,decay,0.15000000000000002,0,71.39999999999968
9,decay,0.15000000000000002,0,71.69999999999968
9,decay,0.15000000000000002,0,71.99999999999967
9,decay,0.15000000000000002,0,72.29999999999967
9,decay,0.15000000000000002,0,72.59999999999967
9,decay,0.15000000000000002,0,72.89999999999966
9,decay,0.15000000000000002,0,73.19999999999966
9,decay,0.15000000000000002,0,73.49999999999966
9,decay,0.15000000000000002,0,73.79999999999966
9,decay,0.15000000000000002,0,74.09999999999965
9,decay,0.15000000000000002,0,74.39999999999965
9,decay,0.15000000000000002,0,74.69999999999965
9,decay,0.15000000000000002,0,74.99999999999964
9,decay,0.15000000000000002,0,75.29999999999964
9,decay,0.15000000000000002,0,75.59999999999964
9,decay,0.15000000000000002,0,75.89999999999964
9,decay,0.15000000000000002,0,76.19999999999963
9,decay,0.15000000000000002,0,76.49999999999963
9,decay,0.15000000000000002,0,76.79999999999963
9,decay,0.15000000000000002,0,77.09999999999962
9,decay,0.15000000000000002,0,77.39999999999962
9,decay,0.15000000000000002,0,77.69999999999962
9,decay,0.15000000000000002,0,77.99999999999962
9,decay,0.15000000000000002,0,78.29999999999961
9,decay,0.15000000000000002,0,78.59999999999961
9,decay,0.15000000000000002,0,78.89999999999961
9,decay,0.15000000000000002,0,79.1999999999996
9,decay,0.15000000000000002,0,79.4999999999996
9,decay,0.15000000000000002,0,79.7999999999996
9,decay,0.15000000000000002,0,80.0999999999996
9,decay,0.15000000000000002,0,80.3999999999996
9,decay,0.15000000000000002,0,80.69999999999959
9,decay,0.15000000000000002,0,80.99999999999959
9,decay,0.15000000000000002,0,81.29999999999959
9,decay,0.15000000000000002,0,81.59999999999958
9,decay,0.15000000000000002,0,81.89999999999958
9,decay,0.15000000000000002,0,82.19999999999958
9,decay,0.15000000000000002,0,82.49999999999957
9,decay,0.15000000000000002,0,82.79999999999957
9,decay,0.15000000000000002,0,83.09999999999957
9,decay,0.15000000000000002,0,83.39999999999957
9,decay,0.15000000000000002,0,83.69999999999956
